timp(ms),P(KW),,,
4958,0.2263838,01/07/2024,11:29:49,AM
4969,0.2263838,01/07/2024,11:29:49,AM
4981,0.2263838,01/07/2024,11:29:49,AM
4995,0.2263838,01/07/2024,11:29:49,AM
5047,0.2263838,01/07/2024,11:29:49,AM
5058,0.2263838,01/07/2024,11:29:49,AM
5069,0.2263838,01/07/2024,11:29:49,AM
5081,0.2263838,01/07/2024,11:29:49,AM
5095,0.2263838,01/07/2024,11:29:49,AM
5105,0.2263838,01/07/2024,11:29:49,AM
5117,0.2263838,01/07/2024,11:29:49,AM
5127,0.2263838,01/07/2024,11:29:49,AM
5138,0.2263838,01/07/2024,11:29:49,AM
5149,0.2263838,01/07/2024,11:29:49,AM
5160,0.2263838,01/07/2024,11:29:49,AM
5175,0.2263838,01/07/2024,11:29:49,AM
5185,0.2263838,01/07/2024,11:29:49,AM
5196,0.2263838,01/07/2024,11:29:49,AM
5208,0.2263838,01/07/2024,11:29:49,AM
5218,0.2263838,01/07/2024,11:29:49,AM
5230,0.2263838,01/07/2024,11:29:49,AM
5240,0.2267578,01/07/2024,11:29:49,AM
5255,0.2267578,01/07/2024,11:29:49,AM
5265,0.2267578,01/07/2024,11:29:49,AM
5276,0.2267578,01/07/2024,11:29:49,AM
5287,0.2267578,01/07/2024,11:29:49,AM
5299,0.2267578,01/07/2024,11:29:49,AM
5309,0.2267578,01/07/2024,11:29:49,AM
5320,0.2267578,01/07/2024,11:29:49,AM
5335,0.2267578,01/07/2024,11:29:49,AM
5345,0.2267578,01/07/2024,11:29:49,AM
5357,0.2267578,01/07/2024,11:29:49,AM
5367,0.2267578,01/07/2024,11:29:49,AM
5378,0.2267578,01/07/2024,11:29:49,AM
5389,0.2267578,01/07/2024,11:29:49,AM
5400,0.2267578,01/07/2024,11:29:49,AM
5415,0.2267578,01/07/2024,11:29:49,AM
5426,0.2267578,01/07/2024,11:29:49,AM
5436,0.2267578,01/07/2024,11:29:49,AM
5447,0.2267578,01/07/2024,11:29:49,AM
5458,0.2267578,01/07/2024,11:29:49,AM
5470,0.2267578,01/07/2024,11:29:49,AM
5481,0.2267578,01/07/2024,11:29:49,AM
5495,0.2267578,01/07/2024,11:29:49,AM
5506,0.2267578,01/07/2024,11:29:49,AM
5516,0.2267578,01/07/2024,11:29:49,AM
5528,0.2267578,01/07/2024,11:29:49,AM
5538,0.2267578,01/07/2024,11:29:49,AM
5549,0.2267578,01/07/2024,11:29:49,AM
5560,0.2267578,01/07/2024,11:29:49,AM
5575,0.2267578,01/07/2024,11:29:49,AM
5585,0.2267578,01/07/2024,11:29:49,AM
5597,0.2267578,01/07/2024,11:29:49,AM
5607,0.2267578,01/07/2024,11:29:49,AM
5618,0.2267578,01/07/2024,11:29:49,AM
5629,0.2267578,01/07/2024,11:29:49,AM
5641,0.2267578,01/07/2024,11:29:49,AM
5655,0.2267578,01/07/2024,11:29:49,AM
5665,0.2267578,01/07/2024,11:29:49,AM
5676,0.2267578,01/07/2024,11:29:49,AM
5688,0.2267578,01/07/2024,11:29:50,AM
5698,0.2267578,01/07/2024,11:29:50,AM
5710,0.2267578,01/07/2024,11:29:50,AM
5721,0.2267578,01/07/2024,11:29:50,AM
5735,0.2267578,01/07/2024,11:29:50,AM
5745,0.2267578,01/07/2024,11:29:50,AM
5756,0.2267578,01/07/2024,11:29:50,AM
5768,0.2267578,01/07/2024,11:29:50,AM
5778,0.2267578,01/07/2024,11:29:50,AM
5789,0.2267578,01/07/2024,11:29:50,AM
5801,0.2267578,01/07/2024,11:29:50,AM
5815,0.2267578,01/07/2024,11:29:50,AM
5825,0.2267578,01/07/2024,11:29:50,AM
5837,0.2267578,01/07/2024,11:29:50,AM
5848,0.2267578,01/07/2024,11:29:50,AM
